,经理人ID,经理人姓名,管理资产总规模,职业跨度年数,平均任职年数,出勤率,Average_AYP,Average_Double_Weighted_AYP,Overall_Min_Profit
8532,30799254,黄晓栋,45.28,0.6520547945205479,0.6520547945205479,1.0,0.03906131044599204,0.058591965668988055,0.0253
24737,30647253,魏淳,75.57000000000001,5.087671232876712,2.498434442270059,0.49107623663358724,0.0386775354217292,0.05761147023295082,-0.3813
24285,30709330,田业钧,10.14,0.9972602739726028,0.9972602739726028,1.0,0.05686011729914131,0.05731142193620714,0.0558
27821,30682586,王小根,16.16,2.095890410958904,1.3771689497716897,0.6570806100217866,0.09846291545799256,0.05682376824335101,-0.2961
21798,30652842,石婧,2.44,4.761643835616439,0.9108066971080669,0.19127988748241911,0.05803874480079707,0.05681554986088651,-0.1537
38892,30056226,周欣,3.32,14.117808219178082,3.4844748858447487,0.24681415356750114,0.08090292985611602,0.05660040697600541,0.0401
19861,30277939,彭海伟,68.59,10.068493150684931,4.351369863013699,0.43217687074829936,0.07978667942730197,0.055685965947064486,-0.046
26950,30643531,吴清宇,36.839999999999996,5.120547945205479,1.5382316313823166,0.30040371613405326,0.09157928680243793,0.0555638197270145,-0.4154
31724,30048753,姚锦,262.76,14.90958904109589,3.699543378995434,0.24813181428396425,0.14247997139716692,0.05549441599439483,-0.0964
10323,30383521,蒋一茜,23.2,8.301369863013699,3.9958904109589044,0.48135313531353136,0.07546600709771828,0.05506982964478338,0.0434
8302,30304732,侯梧,171.28,9.216438356164383,2.3502935420743643,0.2550110412773909,-0.0076611821232126665,0.05487347221556212,-0.2435
36818,30599986,曾理,42.54,5.328767123287672,1.987743330930065,0.3730212420511433,0.10602384256779397,0.05408697388570725,-0.4599
8002,30584705,韩庆,32.73,3.8438356164383563,1.547945205479452,0.4027084818246614,0.019646051118294233,0.05403214654001756,-0.382
4778,30793301,付婷,5.1,0.8082191780821918,0.8082191780821918,1.0,0.035505652420771305,0.05325847863115696,0.0286
9329,30273078,贾成东,176.01,10.243835616438357,2.2799501867995016,0.222568017700406,0.14966477229173278,0.05308336712114896,-0.1823
19126,30563212,缪夏美,43.73,6.183561643835616,1.3624048706240488,0.22032688426131053,0.15378845769735766,0.05299208082004379,-0.1186
29717,30796624,徐铭浩,10.71,0.726027397260274,0.726027397260274,1.0,0.052502589459869964,0.05298726483757474,0.0371
17258,30136523,刘元海,26.03,12.2986301369863,2.848972602739726,0.2316495878814881,0.15230719011195615,0.05256822214125033,-0.2704
36709,30673714,朱坤,19.11,4.64931506849315,1.236986301369863,0.26605774896876844,0.06261682381725224,0.05238675207058568,-0.2307999999999999
12073,30524731,刘辉,50.45,12.904109589041095,3.6421917808219177,0.28225053078556267,0.158008740969073,0.05185271679833066,-0.401
11984,30070040,刘辉,93.16,12.904109589041095,2.7217221135029352,0.21091901728844403,0.158008740969073,0.05185271679833066,-0.3734
35639,30284340,周海栋,399.77,9.772602739726027,3.649315068493151,0.37342304457527337,0.1086963589598304,0.05161879337584502,-0.154
36793,30549894,张露,28.919999999999998,6.501369863013698,2.3598173515981737,0.36297232757409753,0.14630748133279498,0.05157260075604934,-0.1223
20602,30544882,乔迁,379.47,6.580821917808219,2.909041095890411,0.44204829308909244,0.10655550936730249,0.05156003921255631,-0.2196
20208,30063379,丘栋荣,259.32,9.405479452054795,3.500152207001522,0.3721396899375344,0.12755027601043192,0.05152123264699739,-0.2989
13740,30104147,林梦,59.120000000000005,6.298630136986302,2.0,0.31752936059156156,0.11331847950359104,0.051381476903758626,-0.0964
30458,30163941,徐彦,287.52,11.282191780821918,2.660994953136265,0.235857979090514,0.1015549341132487,0.0513790954515231,-0.0883
59,30283513,白冰洋,7.97,6.821917808219178,2.4645357686453573,0.36126729138777325,0.07758856544010319,0.05133506343074793,-0.0630999999999999
4460,30638854,冯汉杰,12.0,5.183561643835616,1.7437703848662753,0.3364039061713481,0.10094055763815056,0.051080245679047204,-0.0118999999999999
